lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
lang_code	en	se	es	el	de	du	he	fr	fq	no	zh	zt	ru	hy	sk	id	gr	ei	pe	pt	ar	da	tr	po	am	it	hi	ro	vi	hu	sq	cs	uk	bn	et	fa	li	si	ja	fi	ko	ka	bs	hr	sr	mr	so	dd
lang_description	English (Standard)	Swedish	Spanish (Spain)	Spanish (Latin American)	German	Dutch	Hebrew	French (Standard)	French (Canadian)	Norwegian	Chinese (Simplified)	Chinese (Traditional)	Russian	Armenian	Slovak	Bahasa Indonesia	Greek	English (Indian)	Portuguese (European)	Portuguese (Brazilian)	Arabic	Danish	Turkish	Polish	Amharic	Italian	Hindi	Romanian	Vietnamese	Hungarian	Albanian	Czech	Ukrainian	Bengali	Estonian	Persian	Lithuanian	Sinhala	Japanese	Finnish	Korean	Georgian	Bosnian	Croatian	Serbian	Marathi	Somali	dummy
lang_is_rtl	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(DO NOT EDIT BELOW)	(DO NOT EDIT BELOW)	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	(DO NOT EDIT BELOW)
cons_id	constant_name	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition
1	A	En	Un, Una	Un, Una	Ein	A		Un	Un		?	?	A			A	??a		Um	Um	?	A	Bir	A		Un	??	A	Mô?t		nje	A	?		A		A		???	Yksi						??	A	dummy
2	A check number or claim number to identify the payment	Ett betalningsnr för att identifiera betalningen	Un número de cheque o reclamación para identificar el pago	Un número de cheque o reclamación para identificar el pago	Schecknummer oder Reklamationsnummer ist erforderlich, um Zahlung zu identifizieren	Chequenummer of claimnummer om betaling te identificeren		Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Et betalingsnummer til å identifisere betalingen	?????????????	????????? ??????	??????????? ?????? ??? ?????????? ??? ????????????? ??????	????????  ??? ?????????? ??????? ???????? ???????????????? ?????		Nomor cek atau nomor klaim untuk identifikasi pembayaran	????. ?p?ta??? ? ??t?µat?? ap???µ??s??, p??? ta?t?p???s? p????µ??		Número de cheque ou de crédito para identificar o pagamento	Um número do cheque ou do crédito para identificar o pagamento	??? ??????? ?? ???????? ??????? ??????	Nummer, der identificerer betalingen	Ödemeyi tanimlamak için bir çek numarasi veya talep numarasi	Numer czeku lub rachunku do identyfikacji platnosci		Numero assegno o identificativo pagamento	?? ??? ???? ?? claim ???? ?????? ?? ????? ?? ???	Un numar de control sau numarul de identificare a pla?ii	S? séc ho?c s? yêu c?u d? nh?n bi?t vi?c thanh toán		Numer fature	Kontrola císla nebo cíla požadavku k identifikaci platby	????? ???? ?? ???????????????? ????? ???????		Tšeki või nõude number maksmise tuvastamiseks	????? ?? ?? ????? ?????? ???? ?????? ??????	Reikalingas saskaitos ar paraiškos numeris identifikuojant apmokejima		???????????????????????	Viitenumero						?? ??? ???? ????? ???? ?????? ???? ???????????	U hubso tirsiga ama tirsiga qaanta si aad u aqoonsato bixinta	dummy
3	A client certificate for the admin user	Klientcertifikat för admin användaren	Un certificado de cliente para el usuario administrador	Un certificado del cliente para el usuario de admin	Klienten Zertifikat für Administrator	Een certificaat voor de ADMIN gebruiker		Un certificat du client pour l\'administrateur	Un certificat du client pour l\'administrateur		???????????	?????????????	?????????? ??????? ??? ???????????? admin	????????? ??????????? ????? ????? ??????? ?????		Surat keterangan pelanggan untuk pengguna admin	??a p?st?p???t??? pe??t? ??a t?? ??a?e???st?		Certificado de cliente para o administrador do sistema	Um certificado cliente para o usuário administrador	????? ???? ???????? ??????	Patient certificat til administrator	Yönetici kullanicisi için bir müsteri sertifikasi	Certifikat klienta dla uzytkownika administracyjnego		Un certificato del Client per l\'utente admin	?? client certificate computer ?????????? ?? ???	Un certificat de autentificare pentru administrator	M?t gi?y ch?ng nh?n c?a máy khách cho ngu?i qu?n tr?		Nje certifikate klienti per perdoruesin me te drejta administrimi	Klientský certifikát pro správce	?????????? ??????? ??? ??????????? admin		Admin kasutaja kliendisertifikaat		Kliento sertifikatas skirtas sistemos administratoriui		???????????????	Pääkäyttäjän käyttöoikeusvarmenne						??????? ????????? ?? ??????? ??????????	Cadeynta macmiilka ee mareynta isticmallaha	dummy
4	A clinical document is attached			Adjunto está un documento clínico.	Ein klinisches Dokument befindet sich im Anhang.	Een klinisch document is bijgevoegd			Un document clinique se trouve en attachement					????? ? ????????/?????????? ??????????		Dokumen klinik sudah dilampirkan				Um documento clínico está anexado.	?? ????? ????? ????	Et klinisk dokument er vedhæftet.	Bir klinik belge ekli			Un documento clinico è allegato			M?t tài li?u lâm s??ng du?c dính kèm			Je pripojen klinický dokument	???????? ???????? ?????????				Klinikinis dokumentas pridetas.		????????????	Kliininen asiakirja on liitteenä						?? ???????? ??????? ?????? ???	Waxaa ku lifaaqan waraaqaha rugta caafimaadka	dummy
5	A clinical document is attached.	Ett klinikdokument är bifogat		Adjunto está un documento clínico.	Ein klinisches Dokument befindet sich im Anhang.	Een klinisch document is bijgevoegd.		Un document clinique est attaché.	Un document clinique est attaché.					????????/?????????? ?????????? ? ?????		Dokumen klinik sudah dilampirkan	???set??? ??a ??????? ????af?.			Um documento clínico está anexado.	?? ????? ????? ????.	Et klinisk dokument er vedhæftet.	Bir klinik belge ekli	Dokument kliniczny w zalaczeniu.		Un documento clinico è allegato.	?? ??????? ?????????? ?????? ??	Un document clinic este atasat.	M?t tài li?u lâm sàng du?c dính kèm.			Je pripojen klinický dokument	???????? ???????? ?????????.			?? ??? ?????? ????? ??? ???.	Klinikinis dokumentas pridetas.		????????????	Kliininen asiakirja on liitteenä.						?? ???????? ??????? ?????? ???.	Waxaa ku lifaaqan waraaqaha rugta caafimaadka.	dummy
